Show_ID,Type,Title,Director,Cast,Country,Date_Added,Release_Year,Rating,Duration,Listed_In,Description
s1,Movie,Title 1,Michael Brown,"Tom Holland, Scarlett Johansson, Alia Bhatt, Zendaya",Japan,5-Nov-2017,2002,TV-PG,144 min,"Documentary, Drama","A documentary, drama movie available on Netflix."
s2,TV Show,Title 2,Sara Davis,"Aamir Khan, Ryan Reynolds",Germany,21-Sep-2017,1992,TV-14,7 Seasons,"Sci-Fi, Action","A sci-fi, action tv show available on Netflix."
s3,TV Show,Title 3,Sara Davis,"Chris Evans, Zendaya",India,18-Jul-2024,2020,PG-13,6 Seasons,"Adventure, Horror, Comedy","A adventure, horror, comedy tv show available on Netflix."
s4,TV Show,Title 4,Rachel Adams,"Tom Holland, Millie Bobby Brown, Robert De Niro",India,11-Dec-2019,2023,TV-14,7 Seasons,"Crime, Thriller","A crime, thriller tv show available on Netflix."
s5,Movie,Title 5,Michael Brown,"Aamir Khan, Chris Evans, Millie Bobby Brown, Tom Holland",Mexico,13-Jun-2020,1992,TV-14,60 min,"Sci-Fi, Drama","A sci-fi, drama movie available on Netflix."
s6,Movie,Title 6,James Lewis,"Millie Bobby Brown, Chris Evans, Ryan Reynolds",South Korea,2-Oct-2017,1997,G,178 min,"Drama, Sci-Fi","A drama, sci-fi movie available on Netflix."
s7,TV Show,Title 7,David Wilson,"Emma Stone, Scarlett Johansson, Millie Bobby Brown",United States,2-Jul-2023,1996,TV-14,2 Seasons,Sci-Fi,A sci-fi tv show available on Netflix.
s8,Movie,Title 8,Emily Clark,"Tom Holland, Zendaya",Germany,7-Dec-2019,2014,R,131 min,"Action, Romance","A action, romance movie available on Netflix."
s9,TV Show,Title 9,Ava Johnson,"Chris Evans, Emma Stone, Ryan Reynolds, Alia Bhatt",France,18-Mar-2016,1996,R,2 Seasons,Romance,A romance tv show available on Netflix.
s10,Movie,Title 10,Ava Johnson,"Alia Bhatt, Robert De Niro",France,25-Apr-2021,2006,TV-MA,162 min,Comedy,A comedy movie available on Netflix.
